-0.13158,-0.14102,-0.14156,-0.14657,-0.15401,-0.15917,-0.15965,-0.16392,-0.16806,-0.17387,-0.1795,-0.18496,-0.18913,-0.19163,-0.1923,-0.19393,-0.19378,-0.19207,-0.19134,-0.19013,-0.18896,-0.18767,-0.18523,-0.18576,-0.18533,-0.18115,-0.17838,-0.17605,-0.17616,-0.17252,-0.17167,-0.16941,-0.16782,-0.16713,-0.16761,-0.167,-0.16685,-0.16667,-0.16664,-0.16647,-0.16646,-0.1664,-0.1666,-0.16682,-0.1684,-0.16899,-0.16996,-0.17092
-0.28747,-0.28612,-0.28461,-0.28122,-0.28049,-0.27962,-0.2787,-0.27789,-0.27517,-0.27277,-0.27125,-0.27024,-0.27016,-0.27028,-0.27015,-0.27118,-0.27436,-0.27459,-0.27423,-0.27386,-0.27347,-0.27301,-0.27252,-0.27353,-0.27349,-0.27336,-0.2731,-0.27283,-0.2725,-0.27271,-0.27273,-0.27266,-0.27261,-0.2726,-0.27239,-0.27227,-0.27203,-0.27172,-0.2712,-0.27105,-0.27084,-0.2707,-0.2701,-0.27029,-0.27083,-0.27069,-0.27096,-0.27106
-0.273,-0.27309,-0.27322,-0.27314,-0.27317,-0.27313,-0.273,-0.27268,-0.27266,-0.27261,-0.27263,-0.27263,-0.27257,-0.27202,-0.27059,-0.27124,-0.27035,-0.2696,-0.26955,-0.26964,-0.26925,-0.26893,-0.26829,-0.26805,-0.26718,-0.26739,-0.26632,-0.2656,-0.26527,-0.26538,-0.26531,-0.26533,-0.26545,-0.26559,-0.26577,-0.2658,-0.2657,-0.26571,-0.26558,-0.2656,-0.26551,-0.26544,-0.26542,-0.26545,-0.26544,-0.26544,-0.26539,-0.26531
-0.35544,-0.3632,-0.36942,-0.37325,-0.37463,-0.37639,-0.37738,-0.37548,-0.37492,-0.37236,-0.36574,-0.35915,-0.347,-0.34636,-0.33478,-0.32524,-0.31744,-0.30139,-0.30329,-0.29629,-0.29606,-0.29856,-0.30026,-0.30048,-0.304,-0.30787,-0.31214,-0.31474,-0.31569,-0.316,-0.31607,-0.31818,-0.3208,-0.32062,-0.3244,-0.32479,-0.32753,-0.32995,-0.33722,-0.33594,-0.33732,-0.33876,-0.34015,-0.3426,-0.34278,-0.34711,-0.34683,-0.34708
0.97214,0.97206,0.97187,0.97158,0.97137,0.97122,0.9712,0.97091,0.97034,0.96994,0.96891,0.967,0.96731,0.96743,0.96221,0.9644,0.96233,0.96015,0.95845,0.95732,0.95605,0.95473,0.95397,0.95425,0.95451,0.95305,0.95334,0.95252,0.95236,0.95195,0.95158,0.95095,0.95079,0.95049,0.94989,0.94907,0.94844,0.94739,0.94751,0.94617,0.94645,0.94542,0.94484,0.94459,0.94458,0.94481,0.94559,0.94585
0.11775,0.11788,0.11617,0.11597,0.11427,0.11328,0.11029,0.10661,0.10924,0.11272,0.11332,0.11942,0.12269,0.12237,0.12216,0.12585,0.13052,0.12957,0.12475,0.11638,0.11176,0.11062,0.1131,0.1177,0.11886,0.11456,0.1077,0.10329,0.10144,0.095992,0.09239,0.099744,0.102,0.09677,0.093618,0.094478,0.10134,0.10183,0.10584,0.11264,0.11871,0.12709,0.13168,0.13201,0.13675,0.13973,0.13979,0.17783
-0.26972,-0.26973,-0.26973,-0.26974,-0.26974,-0.26974,-0.26974,-0.26974,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.26975,-0.22671
-0.17056,-0.18324,-0.20723,-0.23334,-0.23588,-0.2336,-0.22014,-0.20999,-0.16083,-0.15176,-0.17311,-0.17358,-0.3747,-0.43919,-0.59651,-0.44951,-0.4269,-0.42787,-0.60892,-0.65718,-0.72421,-0.76059,-0.62622,-0.57648,-0.52087,-0.57824,-0.68122,-0.74251,-0.77183,-1,-0.88452,-0.79636,-0.77086,-0.74936,-0.71224,-0.68657,-0.64453,-0.5987,-0.57843,-0.54852,-0.5065,-0.46102,-0.37924,-0.29362,-0.24754,-0.22159,-0.21106,-0.22235
0.97491,0.97496,0.97505,0.97506,0.975,0.975,0.97487,0.97462,0.97439,0.9736,0.97352,0.97279,0.97128,0.96959,0.968,0.96862,0.96867,0.96799,0.96766,0.96745,0.96698,0.96639,0.96594,0.96601,0.96626,0.96646,0.96665,0.9668,0.96671,0.96667,0.96664,0.96655,0.96605,0.96556,0.96554,0.96458,0.96394,0.96361,0.96337,0.96333,0.96316,0.96289,0.96294,0.96294,0.96297,0.96301,0.96301,0.96292
-0.66198,-0.67312,-0.67244,-0.67893,-0.68451,-0.68132,-0.67102,-0.65336,-0.63537,-0.62116,-0.61092,-0.6043,-0.60438,-0.60705,-0.60744,-0.61307,-0.61263,-0.60272,-0.59551,-0.57378,-0.55207,-0.56128,-0.56058,-0.55833,-0.56114,-0.56478,-0.5672,-0.57605,-0.58982,-0.59969,-0.60621,-0.60562,-0.59559,-0.58316,-0.5736,-0.5629,-0.55935,-0.55627,-0.55982,-0.56013,-0.56474,-0.57112,-0.5685,-0.58166,-0.59722,-0.60338,-0.61109,-0.61866
