-0.0039325,-0.0031,-0.0021812,-0.0010759,0.001041,0.0018659,0.0033062,0.0050914,0.0088559,0.010062,0.01648,0.016576,0.021446,0.023841,0.023581,0.02546,0.026526,0.029314,0.02918,0.028404,0.028221,0.02754,0.026956,0.024637,0.022973,0.018744,0.016567,0.014361,0.010085,0.0060592
-0.034704,-0.034043,-0.034669,-0.034741,-0.037026,-0.040337,-0.043247,-0.046731,-0.04995,-0.054043,-0.054872,-0.057958,-0.05815,-0.059129,-0.059928,-0.060987,-0.061936,-0.061603,-0.060917,-0.057457,-0.056687,-0.055307,-0.05548,-0.053883,-0.05161,-0.052356,-0.049453,-0.048608,-0.046494,-0.043913
-0.019891,-0.019995,-0.020028,-0.020077,-0.019625,-0.01948,-0.017852,-0.01769,-0.016868,-0.016216,-0.015231,-0.015297,-0.015236,-0.015287,-0.015489,-0.016107,-0.016637,-0.017104,-0.017853,-0.017925,-0.018034,-0.018216,-0.018209,-0.017971,-0.017901,-0.017984,-0.017978,-0.018293,-0.019312,-0.020584
0.014443,0.011671,0.01064,0.010526,0.010876,0.011142,0.010153,0.0079818,0.0054034,0.003483,0.0022412,0.0013574,0.00076163,0.00062196,0.00014076,0.00035681,0.0007529,0.0019903,0.0063757,0.007553,0.0097015,0.013042,0.01337,0.01435,0.014079,0.012008,0.0072737,0.0051612,0.0028534,-0.0011206
0.96662,0.96661,0.96659,0.9665,0.966,0.96572,0.96591,0.9658,0.96645,0.96753,0.96817,0.96909,0.97024,0.97079,0.97182,0.97155,0.97202,0.97197,0.97184,0.97154,0.97113,0.971,0.97039,0.97044,0.96988,0.96949,0.96897,0.96847,0.96804,0.96745
0.37625,0.37649,0.37662,0.37763,0.37937,0.38101,0.38178,0.38077,0.379,0.37504,0.37012,0.36278,0.36243,0.36097,0.35857,0.35776,0.35752,0.3578,0.35852,0.36105,0.36389,0.36658,0.36856,0.37032,0.37139,0.37187,0.3722,0.37221,0.37218,0.37196
0.016552,0.016556,0.016697,0.017347,0.018927,0.020636,0.024893,0.031798,0.020886,0.010298,0.0020197,-0.0012603,-0.003758,-0.0059636,-0.0065925,-0.0079261,-0.0088239,-0.010563,0.0015964,0.014112,0.017332,0.023115,0.023821,0.02562,0.027559,0.029405,0.030295,0.030391,0.030245,0.030047
0.042061,0.042023,0.04208,0.041999,0.041809,0.042117,0.042076,0.039941,0.043437,0.040735,0.042136,0.043054,0.045178,0.045097,0.045022,0.044405,0.043744,0.042829,0.040761,0.036858,0.033004,0.033594,0.034102,0.032838,0.032111,0.031967,0.031755,0.031495,0.031483,0.03138
-0.98374,-0.98377,-0.98403,-0.98476,-0.98757,-0.99101,-0.99332,-0.99499,-0.99526,-0.99639,-0.99664,-0.9955,-0.9944,-0.99475,-0.99437,-0.99381,-0.99151,-0.99334,-0.99219,-0.99184,-0.99207,-0.99306,-0.99484,-0.99606,-0.99697,-0.99835,-0.99902,-0.99953,-0.9999,-1
-0.34217,-0.32539,-0.29109,-0.25238,-0.20645,-0.14671,-0.10072,-0.16818,-0.16724,-0.1688,-0.15515,-0.13173,-0.11347,-0.10009,-0.094562,-0.095156,-0.10674,-0.12306,-0.14894,-0.16649,-0.17543,-0.19538,-0.22816,-0.26666,-0.29977,-0.33167,-0.3602,-0.37967,-0.39497,-0.41341
