-0.35254,-0.35095,-0.34804,-0.34339,-0.34005,-0.33958,-0.34294,-0.34285,-0.34345,-0.34361,-0.35861,-0.37404,-0.37713,-0.37845,-0.37668,-0.37019,-0.36072,-0.34836,-0.34233,-0.33335,-0.32508,-0.32055,-0.31924,-0.32038,-0.32416,-0.33292,-0.3334,-0.33631
-0.37589,-0.38173,-0.38839,-0.39597,-0.40931,-0.41307,-0.41405,-0.42159,-0.42332,-0.42721,-0.39182,-0.34523,-0.33127,-0.32567,-0.33117,-0.32948,-0.35079,-0.37241,-0.39115,-0.38966,-0.39005,-0.39207,-0.3922,-0.39155,-0.38902,-0.38611,-0.38402,-0.38065
-0.36617,-0.3634,-0.36023,-0.35583,-0.35312,-0.35041,-0.34938,-0.34947,-0.34879,-0.34762,-0.34544,-0.3452,-0.34429,-0.34364,-0.34365,-0.34176,-0.3414,-0.34253,-0.34343,-0.34422,-0.34541,-0.34933,-0.35258,-0.35423,-0.35627,-0.3577,-0.3597,-0.36085
-0.37798,-0.37046,-0.36164,-0.35536,-0.34302,-0.3351,-0.31999,-0.29252,-0.26352,-0.24083,-0.22472,-0.21489,-0.19885,-0.18101,-0.16535,-0.14031,-0.1438,-0.14552,-0.15291,-0.16188,-0.17499,-0.18265,-0.19976,-0.21701,-0.24058,-0.27666,-0.28063,-0.30553
0.91666,0.91907,0.92095,0.92245,0.92287,0.92228,0.92537,0.92882,0.93936,0.94406,0.92841,0.91224,0.90923,0.90899,0.90666,0.90677,0.91781,0.93064,0.93459,0.93595,0.93422,0.93192,0.92934,0.92918,0.92954,0.92838,0.92721,0.9278
0.15701,0.15702,0.15829,0.16056,0.16099,0.16347,0.15832,0.14662,0.12809,0.10582,0.11583,0.1332,0.13723,0.14145,0.13933,0.14142,0.12849,0.11275,0.11055,0.11098,0.1174,0.12887,0.13573,0.14211,0.14739,0.14962,0.14837,0.14685
-0.28329,-0.28447,-0.28322,-0.28128,-0.29656,-0.31742,-0.32526,-0.33692,-0.34347,-0.347,-0.35196,-0.35101,-0.35119,-0.33967,-0.32847,-0.3342,-0.34147,-0.34632,-0.34912,-0.35293,-0.35289,-0.35523,-0.35552,-0.35714,-0.34075,-0.32215,-0.33565,-0.3305
-0.32578,-0.32534,-0.32452,-0.32391,-0.32231,-0.32938,-0.35901,-0.38717,-0.42883,-0.47072,-0.48814,-0.50227,-0.51292,-0.49215,-0.45563,-0.45004,-0.48254,-0.51479,-0.50346,-0.50838,-0.52229,-0.50239,-0.47283,-0.42523,-0.42711,-0.40362,-0.38701,-0.3632
0.90822,0.92865,0.94412,0.9556,0.95744,0.96054,0.96734,0.96991,0.97818,0.97935,0.97915,0.97938,0.98246,0.98609,0.99123,0.99105,0.99255,1,0.99866,0.98875,0.98266,0.97507,0.97317,0.97061,0.96291,0.96206,0.95501,0.94682
-0.54766,-0.49363,-0.36816,-0.31381,-0.26954,-0.22274,-0.17097,-0.11371,-0.073533,-0.045385,-0.021879,-0.0067692,0.018451,0.038873,0.039958,0.038402,0.027948,0.028262,-0.07826,-0.15466,-0.30383,-0.39949,-0.48558,-0.55707,-0.62177,-0.67348,-0.71377,-0.74486
-0.36325,-0.36292,-0.36262,-0.36252,-0.3624,-0.36231,-0.36224,-0.36217,-0.36214,-0.36214,-0.36212,-0.36211,-0.36211,-0.3621,-0.3621,-0.36209,-0.36209,-0.36209,-0.36209,-0.36208,-0.36208,-0.36803,-0.3697,-0.3705,-0.37256,-0.37251,-0.36565,-0.37042
-1,0.64233,-0.78631,-0.84684,-0.65808,-0.64716,-0.6188,-0.55582,-0.49315,-0.4235,-0.37012,-0.33439,-0.29575,-0.27061,-0.25888,-0.22158,0.070877,0.56417,0.19188,0.10221,-0.063679,-0.15161,-0.2233,-0.28494,-0.32265,-0.35482,-0.39893,-0.43479
0.95576,0.95553,0.95266,0.94626,0.94402,0.94416,0.94222,0.93981,0.93545,0.93825,0.93346,0.92727,0.93205,0.93394,0.93536,0.94576,0.93972,0.93681,0.93911,0.93788,0.93961,0.94189,0.94328,0.94663,0.94689,0.9491,0.95146,0.95093
0.11862,0.11399,0.1194,0.12279,0.1243,0.12556,0.12803,0.13051,0.13089,0.13123,0.17449,0.22643,0.23938,0.24143,0.22633,0.20519,0.18305,0.16329,0.15638,0.1455,0.14355,0.13628,0.12977,0.12083,0.12359,0.1201,0.1186,0.11766
-0.36136,-0.36185,-0.36395,-0.36855,-0.37364,-0.37818,-0.38228,-0.39151,-0.38445,-0.38628,-0.39252,-0.38724,-0.39047,-0.39112,-0.39004,-0.38805,-0.38794,-0.38845,-0.39235,-0.39456,-0.3963,-0.4007,-0.39987,-0.39893,-0.39831,-0.39314,-0.39542,-0.38748
-0.37772,-0.38482,-0.37952,-0.37764,-0.37801,-0.37759,-0.376,-0.38182,-0.38049,-0.38219,-0.3742,-0.36738,-0.36317,-0.36121,-0.3614,-0.3591,-0.35769,-0.35738,-0.3555,-0.35387,-0.35367,-0.35458,-0.35503,-0.35524,-0.35492,-0.35387,-0.34899,-0.34571
0.9606,0.96051,0.9605,0.9604,0.96027,0.96037,0.96037,0.96036,0.95856,0.95777,0.9421,0.92293,0.91293,0.91086,0.91698,0.92257,0.93555,0.94173,0.94495,0.94623,0.9472,0.95133,0.95132,0.95093,0.95056,0.95139,0.95137,0.95134
-0.83121,-0.83156,-0.83795,-0.83874,-0.84178,-0.84105,-0.84108,-0.84017,-0.84862,-0.86203,-0.8666,-0.87343,-0.87761,-0.88502,-0.88367,-0.85939,-0.83431,-0.83188,-0.83018,-0.82841,-0.82497,-0.82776,-0.82631,-0.83054,-0.83246,-0.83668,-0.83978,-0.83981
