0.98129,0.98633,0.99112,0.9951,0.99895,0.99943,0.99955,0.99934,0.99742,0.99461,0.98804,0.9839,0.98089,0.97987,0.97407,0.97219,0.97078,0.97108,0.97071,0.96992,0.96989,0.97231,0.97479,0.97964,0.98416,0.988,0.99122,0.99512,0.99591,0.99757,0.99875,0.99949,1
-0.57034,-0.56401,-0.5637,-0.56523,-0.56574,-0.57413,-0.57955,-0.57564,-0.57204,-0.5669,-0.55811,-0.54574,-0.53665,-0.53157,-0.52381,-0.52098,-0.51887,-0.51479,-0.5089,-0.50467,-0.50449,-0.50309,-0.50258,-0.50908,-0.51143,-0.51481,-0.52505,-0.52216,-0.52437,-0.52925,-0.53221,-0.5359,-0.5391
-0.54436,-0.54397,-0.54891,-0.54916,-0.55479,-0.55103,-0.54439,-0.53532,-0.53324,-0.52846,-0.52866,-0.52484,-0.51999,-0.52073,-0.52314,-0.52498,-0.52377,-0.52382,-0.52419,-0.52269,-0.52078,-0.51372,-0.50728,-0.50552,-0.50615,-0.50612,-0.50731,-0.5083,-0.5104,-0.51265,-0.51831,-0.51576,-0.51879
-0.53518,-0.53751,-0.53848,-0.54034,-0.54111,-0.54246,-0.54514,-0.54745,-0.54926,-0.55305,-0.55585,-0.55791,-0.55791,-0.55839,-0.55838,-0.55841,-0.55868,-0.55848,-0.55859,-0.55806,-0.55748,-0.55763,-0.55719,-0.55685,-0.55642,-0.55588,-0.55449,-0.55176,-0.5509,-0.54923,-0.54798,-0.54691,-0.54624
-0.60202,-0.59717,-0.57869,-0.55872,-0.53769,-0.53635,-0.52496,-0.51315,-0.50911,-0.49554,-0.50388,-0.50595,-0.50085,-0.4974,-0.49255,-0.48914,-0.4867,-0.48727,-0.48786,-0.48794,-0.48592,-0.47782,-0.46931,-0.46844,-0.471,-0.47361,-0.4768,-0.48055,-0.48639,-0.49104,-0.49633,-0.4965,-0.50226
-0.59082,-0.59063,-0.57871,-0.56222,-0.55858,-0.54414,-0.60538,-0.66856,-0.73297,-0.78411,-0.7816,-0.78844,-0.79085,-0.81937,-0.85381,-0.87488,-0.88363,-0.88663,-0.88996,-0.89183,-0.89494,-0.89976,-0.89846,-0.87212,-0.87145,-0.85732,-0.84079,-0.77792,-0.6928,-0.64808,-0.61708,-0.59907,-0.59131
-0.55384,-0.55401,-0.5541,-0.55419,-0.55427,-0.55421,-0.55263,-0.55205,-0.55188,-0.55105,-0.55045,-0.54978,-0.54979,-0.54863,-0.54779,-0.54748,-0.54709,-0.54701,-0.54676,-0.54679,-0.54664,-0.54651,-0.54626,-0.54632,-0.54609,-0.54605,-0.54605,-0.5478,-0.54836,-0.54859,-0.54996,-0.55145,-0.55134
-0.54627,-0.54653,-0.5464,-0.5464,-0.54637,-0.54645,-0.54645,-0.54475,-0.54334,-0.54373,-0.54384,-0.54393,-0.54399,-0.54336,-0.54295,-0.54312,-0.54312,-0.54314,-0.54316,-0.54317,-0.54319,-0.54322,-0.5436,-0.54427,-0.54462,-0.54502,-0.54521,-0.54572,-0.54593,-0.54601,-0.54591,-0.54617,-0.54625
-0.59733,-0.59295,-0.57558,-0.55415,-0.5424,-0.53031,-0.52089,-0.50774,-0.50116,-0.49054,-0.48236,-0.47717,-0.47494,-0.47518,-0.47501,-0.47419,-0.47317,-0.47247,-0.47261,-0.47305,-0.4714,-0.46196,-0.47132,-0.46828,-0.46996,-0.47161,-0.47286,-0.47501,-0.48511,-0.48361,-0.4882,-0.48751,-0.48814
-0.18174,-0.23693,-0.34202,-0.33906,-0.34914,-0.39117,-0.49247,-0.58579,-0.67897,-0.74705,-0.7871,-0.80556,-0.8112,-0.82799,-0.87394,-0.92344,-0.9631,-0.9862,-0.99326,-0.9994,-1,-0.98266,-0.94163,-0.90137,-0.84006,-0.75616,-0.69047,-0.72593,-0.69771,-0.63838,-0.5953,-0.59096,-0.611
-0.5433,-0.54337,-0.54342,-0.54348,-0.54352,-0.54354,-0.54357,-0.54358,-0.54359,-0.54359,-0.5436,-0.5436,-0.5436,-0.54361,-0.54361,-0.54361,-0.54361,-0.54361,-0.54361,-0.54361,-0.54361,-0.54361,-0.54361,-0.54362,-0.54362,-0.54362,-0.54362,-0.54362,-0.54362,-0.54362,-0.54362,-0.54175,-0.54055
