0.99493,0.99531,0.99607,0.99597,0.99683,0.99704,0.99738,0.99783,0.99819,0.99875,0.99878,0.99897,0.99922,0.99924,0.99932,0.99932,0.99928,0.99905,0.99835,0.99774,0.99766,0.99686,0.99694,0.99656,0.99629,0.99525,0.99603,0.99569,0.99561,0.99546,0.99527,0.99534,0.99517,0.99515,0.99513,0.99496,0.99477,0.99483,0.99481,0.99483,0.99489,0.99506,0.99557,0.99633,0.99723,0.9981,0.99901,0.99962,0.9999,1,0.99983,0.99951,0.99903,0.99859,0.9984,0.99831,0.99787,0.99757,0.99717,0.99734
-0.92649,-0.9253,-0.92365,-0.92238,-0.92224,-0.92202,-0.91873,-0.91556,-0.91339,-0.91383,-0.91433,-0.91505,-0.91398,-0.91372,-0.91367,-0.9136,-0.91353,-0.91347,-0.91342,-0.91386,-0.91464,-0.91541,-0.91634,-0.91665,-0.91556,-0.91508,-0.91418,-0.91078,-0.91098,-0.90952,-0.90368,-0.90422,-0.90314,-0.90339,-0.89852,-0.89768,-0.89503,-0.89603,-0.89477,-0.8946,-0.89479,-0.89522,-0.89554,-0.89508,-0.89403,-0.89119,-0.88168,-0.87847,-0.87746,-0.87687,-0.87662,-0.87436,-0.87377,-0.8747,-0.87523,-0.87537,-0.87802,-0.87645,-0.87634,-0.87777
-0.92375,-0.92293,-0.92259,-0.92201,-0.92149,-0.92056,-0.91915,-0.9192,-0.91908,-0.91857,-0.91792,-0.91169,-0.91514,-0.91438,-0.91298,-0.90765,-0.90728,-0.9032,-0.89332,-0.8808,-0.88363,-0.87406,-0.88149,-0.87461,-0.86987,-0.86731,-0.86761,-0.86583,-0.86419,-0.86426,-0.86413,-0.86398,-0.86384,-0.86225,-0.86214,-0.86178,-0.86144,-0.86157,-0.86224,-0.86122,-0.86114,-0.86122,-0.86141,-0.86238,-0.86512,-0.86868,-0.87332,-0.87742,-0.88596,-0.88788,-0.893,-0.89724,-0.89993,-0.90324,-0.90557,-0.90921,-0.91172,-0.91324,-0.9137,-0.91501
-0.89841,-0.8984,-0.89805,-0.89761,-0.8975,-0.89745,-0.8973,-0.89732,-0.89732,-0.89736,-0.89734,-0.8974,-0.89756,-0.89774,-0.89818,-0.89883,-0.90003,-0.90141,-0.9032,-0.90559,-0.90686,-0.90915,-0.91147,-0.9125,-0.91346,-0.91431,-0.91504,-0.91565,-0.91621,-0.91734,-0.91811,-0.91886,-0.91925,-0.92043,-0.91954,-0.91983,-0.91954,-0.91944,-0.91871,-0.91743,-0.91543,-0.91169,-0.9119,-0.90871,-0.90825,-0.90471,-0.90404,-0.9012,-0.90074,-0.89872,-0.89673,-0.89403,-0.89411,-0.89317,-0.89283,-0.89243,-0.89107,-0.89104,-0.89051,-0.89003
-0.86412,-0.87199,-0.87676,-0.88015,-0.88295,-0.88457,-0.88626,-0.88639,-0.88935,-0.88952,-0.89313,-0.89627,-0.89804,-0.89888,-0.89899,-0.89816,-0.89757,-0.89361,-0.89445,-0.89502,-0.89556,-0.89568,-0.89649,-0.89717,-0.89746,-0.89762,-0.89767,-0.89768,-0.89778,-0.89789,-0.89799,-0.89795,-0.89799,-0.89792,-0.89805,-0.89831,-0.89861,-0.90009,-0.89911,-0.89902,-0.90038,-0.9018,-0.90086,-0.8996,-0.89965,-0.90011,-0.89933,-0.89931,-0.89952,-0.89987,-0.89987,-0.90037,-0.90073,-0.90098,-0.90175,-0.90275,-0.9035,-0.90364,-0.90364,-0.90407
-0.96555,-0.96272,-0.95683,-0.94723,-0.93564,-0.93422,-0.93053,-0.92689,-0.92451,-0.91993,-0.91495,-0.91464,-0.91151,-0.91122,-0.9091,-0.90693,-0.90426,-0.90251,-0.90035,-0.89692,-0.89673,-0.89492,-0.89551,-0.89598,-0.89472,-0.89324,-0.89281,-0.89185,-0.89092,-0.89038,-0.89009,-0.88991,-0.88979,-0.88969,-0.88958,-0.88947,-0.88938,-0.88911,-0.88829,-0.88753,-0.88642,-0.88722,-0.88969,-0.89005,-0.89339,-0.8928,-0.89421,-0.89532,-0.89756,-0.89965,-0.90104,-0.90193,-0.90303,-0.90381,-0.90405,-0.90576,-0.9058,-0.90569,-0.90562,-0.90564
-0.90997,-0.91004,-0.91087,-0.91099,-0.91114,-0.91167,-0.91205,-0.91212,-0.91201,-0.91193,-0.91187,-0.91169,-0.91144,-0.91118,-0.91071,-0.90991,-0.90968,-0.90903,-0.9088,-0.90833,-0.90786,-0.90795,-0.90804,-0.90768,-0.90707,-0.90737,-0.9069,-0.90698,-0.90652,-0.90654,-0.90613,-0.9058,-0.90581,-0.90549,-0.90547,-0.9047,-0.90514,-0.90475,-0.9049,-0.90503,-0.90485,-0.90495,-0.90535,-0.90567,-0.90617,-0.90619,-0.90667,-0.9082,-0.90832,-0.90991,-0.91036,-0.91254,-0.91436,-0.9158,-0.91618,-0.91698,-0.91768,-0.9179,-0.91832,-0.91855
-0.89535,-0.8961,-0.89537,-0.89205,-0.88967,-0.88654,-0.88678,-0.88572,-0.88455,-0.8835,-0.88201,-0.88193,-0.88161,-0.88113,-0.8808,-0.88062,-0.88432,-0.8858,-0.88706,-0.88779,-0.88815,-0.88915,-0.88926,-0.88971,-0.89037,-0.89043,-0.89067,-0.89156,-0.89144,-0.89155,-0.8918,-0.8921,-0.89233,-0.89243,-0.89254,-0.89291,-0.89348,-0.89364,-0.89416,-0.89436,-0.89486,-0.89497,-0.89487,-0.89527,-0.8955,-0.89542,-0.89552,-0.89475,-0.89431,-0.89471,-0.89521,-0.89519,-0.89522,-0.89518,-0.89518,-0.89513,-0.89515,-0.8954,-0.89534,-0.89534
-0.86241,-0.87076,-0.86936,-0.87535,-0.87427,-0.87986,-0.88439,-0.88637,-0.88808,-0.89035,-0.88994,-0.89416,-0.89316,-0.89531,-0.8954,-0.89398,-0.89149,-0.89097,-0.89207,-0.8926,-0.89373,-0.89581,-0.89603,-0.89713,-0.89773,-0.89772,-0.89772,-0.89776,-0.89779,-0.89805,-0.89839,-0.8986,-0.89864,-0.89854,-0.89857,-0.89875,-0.89912,-0.90135,-0.90106,-0.90215,-0.90257,-0.90305,-0.90308,-0.90236,-0.90083,-0.90173,-0.90227,-0.90096,-0.8999,-0.90037,-0.90121,-0.9012,-0.90191,-0.90286,-0.90344,-0.90476,-0.90571,-0.90563,-0.90629,-0.90679
-0.62914,-0.62095,-0.59938,-0.56161,-0.5538,-0.55023,-0.54054,-0.51779,-0.45433,-0.44049,-0.37085,-0.3425,-0.28016,-0.24114,-0.22544,-0.22149,-0.22552,-0.25792,-0.31743,-0.37247,-0.40687,-0.43525,-0.43506,-0.44479,-0.45497,-0.46151,-0.4667,-0.48375,-0.49568,-0.4973,-0.49642,-0.4969,-0.50138,-0.51079,-0.50866,-0.53288,-0.56078,-0.57876,-0.59314,-0.57564,-0.579,-0.57942,-0.58429,-0.57716,-0.58001,-0.57885,-0.57883,-0.57676,-0.65132,-0.73232,-0.78208,-0.82564,-0.87014,-0.87044,-0.87955,-0.88808,-0.89711,-0.89596,-0.89791,-0.90408
