0.99737,0.99504,0.9925,0.98843,0.98703,0.98688,0.98565,0.98535,0.98555,0.9851,0.9854,0.98689,0.98933,0.98951,0.99336,0.99408,0.99457,0.99587,0.997,0.99806,0.99874,0.99886,0.99939,0.99987,1
-0.52878,-0.51967,-0.50344,-0.5008,-0.4996,-0.49526,-0.48938,-0.48371,-0.48176,-0.48376,-0.48675,-0.48993,-0.49402,-0.49426,-0.50084,-0.5002,-0.49994,-0.50238,-0.50068,-0.49845,-0.49834,-0.49729,-0.4972,-0.49962,-0.50363
-0.46335,-0.46243,-0.4621,-0.46144,-0.46049,-0.45749,-0.45797,-0.45767,-0.45697,-0.45577,-0.45447,-0.45374,-0.45266,-0.45235,-0.45194,-0.45242,-0.45219,-0.45233,-0.45276,-0.45341,-0.45445,-0.45565,-0.45696,-0.45798,-0.45902
-0.48747,-0.48902,-0.4915,-0.49103,-0.4921,-0.49235,-0.49227,-0.49263,-0.49262,-0.49253,-0.49248,-0.49202,-0.49195,-0.49178,-0.49167,-0.49153,-0.4914,-0.49105,-0.49034,-0.48948,-0.48849,-0.48733,-0.4865,-0.48545,-0.4847
-0.49898,-0.49469,-0.48849,-0.48414,-0.48076,-0.47608,-0.46265,-0.46198,-0.46117,-0.46131,-0.4629,-0.46508,-0.46259,-0.46192,-0.46208,-0.46212,-0.46241,-0.46486,-0.4663,-0.4684,-0.47159,-0.47879,-0.47992,-0.4833,-0.48535
-0.47685,-0.47494,-0.52257,-0.58408,-0.61529,-0.64291,-0.66586,-0.68841,-0.69805,-0.70018,-0.64576,-0.58624,-0.55147,-0.52115,-0.49761,-0.49084,-0.49029,-0.48399,-0.48168,-0.48123,-0.47901,-0.47893,-0.47858,-0.47952,-0.47976
-0.48845,-0.48867,-0.48673,-0.48405,-0.4835,-0.48215,-0.48141,-0.48151,-0.48109,-0.48079,-0.48341,-0.48643,-0.48741,-0.4869,-0.48696,-0.48748,-0.48779,-0.48827,-0.48868,-0.48859,-0.48847,-0.48867,-0.48865,-0.48864,-0.48863
-0.48016,-0.47926,-0.47935,-0.47942,-0.47936,-0.47938,-0.47945,-0.47962,-0.47978,-0.48001,-0.48021,-0.48045,-0.48063,-0.4808,-0.48099,-0.48091,-0.48107,-0.48102,-0.48102,-0.48097,-0.48097,-0.48102,-0.48107,-0.48122,-0.48144
-0.45949,-0.47,-0.47199,-0.48166,-0.48275,-0.48748,-0.49331,-0.50315,-0.50107,-0.50213,-0.50536,-0.50563,-0.50546,-0.50458,-0.50343,-0.5023,-0.50147,-0.4981,-0.49444,-0.49002,-0.48523,-0.47748,-0.47667,-0.47337,-0.47146
-0.69551,-0.74437,-0.79136,-0.84656,-0.89122,-0.92755,-0.95007,-0.96189,-0.98904,-0.99519,-0.99596,-1,-0.99623,-0.98438,-0.95844,-0.93316,-0.88872,-0.84278,-0.79307,-0.74672,-0.71049,-0.69397,-0.66049,-0.60386,-0.5694
-0.47868,-0.47866,-0.47865,-0.47864,-0.47863,-0.47862,-0.47862,-0.47862,-0.47862,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.48138,-0.48291,-0.48238
-0.47242,-0.48805,-0.47447,-0.46921,-0.46127,-0.45804,-0.46393,-0.46914,-0.45986,-0.44932,-0.43983,-0.43299,-0.42228,-0.39643,-0.42464,-0.1932,-0.44786,-0.54246,-0.50212,-0.49659,-0.48991,-0.48117,-0.47397,-0.46991,-0.47115
-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861,-0.47861
-0.57125,-0.5721,-0.57247,-0.57225,-0.57187,-0.5717,-0.57142,-0.57078,-0.56987,-0.56847,-0.56673,-0.56472,-0.56266,-0.56125,-0.55983,-0.5585,-0.55787,-0.55763,-0.55752,-0.55748,-0.5579,-0.5585,-0.55881,-0.55967,-0.56008
