1,0.99955,0.99942,0.99907,0.99835,0.99661,0.99491,0.99437,0.9931,0.99283,0.99259,0.99194,0.99214,0.99182,0.99179,0.99172,0.99164,0.99166,0.99167,0.99167,0.99171,0.99175,0.99164,0.99147,0.99093,0.99104,0.99282,0.99172,0.9914
-0.33394,-0.32344,-0.31437,-0.31178,-0.31628,-0.3392,-0.36899,-0.37166,-0.36859,-0.36773,-0.36752,-0.38111,-0.39416,-0.39825,-0.40001,-0.39549,-0.39166,-0.39061,-0.39021,-0.38992,-0.38973,-0.38911,-0.389,-0.39066,-0.39187,-0.39662,-0.39108,-0.39273,-0.39457
-0.34062,-0.33932,-0.33792,-0.33652,-0.33415,-0.33312,-0.33254,-0.33019,-0.32711,-0.32415,-0.3192,-0.32121,-0.32281,-0.3242,-0.32123,-0.31627,-0.32005,-0.31852,-0.32085,-0.32329,-0.3252,-0.32595,-0.3261,-0.32642,-0.3261,-0.32967,-0.33169,-0.33202,-0.33427
-0.34287,-0.34365,-0.34388,-0.34402,-0.34458,-0.34486,-0.3449,-0.34492,-0.34485,-0.34486,-0.34476,-0.34488,-0.34483,-0.34454,-0.34413,-0.34433,-0.3438,-0.34343,-0.34125,-0.34126,-0.3405,-0.34023,-0.33993,-0.33982,-0.33985,-0.33939,-0.33986,-0.34051,-0.34115
-0.35927,-0.35255,-0.3464,-0.34229,-0.33776,-0.34277,-0.34782,-0.34225,-0.32916,-0.32626,-0.32202,-0.3292,-0.3391,-0.3441,-0.3436,-0.33861,-0.33408,-0.33301,-0.33377,-0.33297,-0.332,-0.3322,-0.3318,-0.33139,-0.33123,-0.33122,-0.33398,-0.3372,-0.34048
-0.65382,-0.73511,-0.79616,-0.84143,-0.85796,-0.83625,-0.81473,-0.83616,-0.87127,-0.90049,-0.93111,-0.95344,-0.9662,-0.97809,-0.9865,-0.99519,-1,-0.85835,-0.84072,-0.81091,-0.77025,-0.74142,-0.70927,-0.66077,-0.67076,-0.71056,-0.74499,-0.7871,-0.8082
-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438
-0.4568,-0.48019,-0.49262,-0.5028,-0.51473,-0.52665,-0.53418,-0.53456,-0.53343,-0.52773,-0.51848,-0.50735,-0.48937,-0.47923,-0.47773,-0.4773,-0.47651,-0.43861,-0.50785,-0.53001,-0.55242,-0.48386,-0.46428,-0.43582,-0.48761,-0.50692,-0.51187,-0.51373,-0.5145
-0.35628,-0.35372,-0.35136,-0.34698,-0.33903,-0.34846,-0.35274,-0.34481,-0.33537,-0.32182,-0.3236,-0.33052,-0.33909,-0.34819,-0.33896,-0.33755,-0.3424,-0.33624,-0.33322,-0.33017,-0.32952,-0.32903,-0.32588,-0.32597,-0.32617,-0.32656,-0.32854,-0.33023,-0.33204
-0.24797,-0.21505,-0.21699,-0.20878,-0.20201,-0.20592,-0.20455,-0.14741,-0.098635,-0.065925,-0.041936,-0.036847,-0.036955,-0.037806,-0.03574,-0.025534,-0.028747,-0.02575,-0.014667,0.00029024,0.006149,0.012791,0.0099289,0.07173,0.11617,0.14228,0.15586,0.13907,0.11269
-0.34372,-0.34374,-0.34376,-0.34376,-0.34376,-0.34377,-0.34378,-0.34378,-0.34378,-0.34379,-0.34379,-0.34379,-0.34379,-0.34379,-0.34379,-0.34379,-0.34379,-0.34379,-0.34379,-0.34379,-0.34379,-0.34379,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438,-0.3438
