0.99308,0.99355,0.99389,0.99419,0.99431,0.99463,0.99502,0.99496,0.99523,0.99571,0.99599,0.99645,0.99678,0.99733,0.99771,0.99783,0.9981,0.99825,0.99819,0.99815,0.99849,0.99873,0.99883,0.99888,0.99903,0.99919,0.99917,0.9993,0.9993,0.99945,0.99945,0.99962,0.99978,0.9999,0.99988,0.99986,0.99993,0.99997,0.99999,1,0.99997,0.99987,0.99961,0.99936,0.99873,0.99799,0.99794,0.99765,0.99719,0.99738
-0.4973,-0.49913,-0.49717,-0.497,-0.48046,-0.46412,-0.45207,-0.44857,-0.46221,-0.4682,-0.47085,-0.46871,-0.46647,-0.45164,-0.4536,-0.45232,-0.45297,-0.45703,-0.45737,-0.45959,-0.46128,-0.45095,-0.44898,-0.44842,-0.44802,-0.44895,-0.45392,-0.45143,-0.45003,-0.44878,-0.45532,-0.46357,-0.45961,-0.46356,-0.46672,-0.46624,-0.4685,-0.47018,-0.47149,-0.47145,-0.4732,-0.47661,-0.47871,-0.48041,-0.48538,-0.48869,-0.49058,-0.49127,-0.49149,-0.49309
-0.45046,-0.45096,-0.45121,-0.45156,-0.45036,-0.45074,-0.4504,-0.44996,-0.45007,-0.45041,-0.45074,-0.45046,-0.45031,-0.44949,-0.44929,-0.44843,-0.4479,-0.44819,-0.44805,-0.44796,-0.44792,-0.44748,-0.44712,-0.44668,-0.44563,-0.44635,-0.44616,-0.446,-0.44588,-0.44579,-0.44571,-0.44578,-0.44584,-0.44582,-0.44584,-0.44605,-0.44612,-0.44635,-0.4463,-0.44645,-0.44668,-0.4469,-0.44698,-0.44694,-0.44695,-0.44699,-0.44693,-0.4469,-0.44692,-0.44694
-0.44227,-0.44219,-0.44202,-0.44184,-0.44187,-0.44191,-0.44193,-0.44191,-0.44181,-0.44164,-0.44153,-0.4414,-0.44125,-0.44132,-0.44135,-0.44133,-0.44133,-0.44133,-0.4413,-0.4413,-0.44145,-0.44192,-0.44183,-0.44227,-0.44261,-0.44254,-0.44268,-0.44285,-0.44308,-0.44306,-0.44334,-0.4433,-0.44327,-0.44347,-0.44363,-0.44373,-0.44381,-0.44392,-0.4439,-0.44385,-0.44405,-0.44379,-0.4438,-0.44354,-0.44337,-0.44323,-0.44325,-0.44339,-0.44346,-0.44372
-0.49314,-0.48661,-0.48327,-0.47792,-0.46112,-0.4366,-0.42324,-0.41409,-0.4226,-0.43302,-0.4394,-0.44224,-0.44566,-0.4423,-0.43887,-0.44003,-0.4431,-0.44809,-0.45601,-0.45625,-0.46054,-0.45875,-0.45355,-0.45172,-0.45376,-0.45285,-0.45426,-0.45749,-0.45995,-0.46394,-0.46401,-0.46317,-0.46409,-0.46391,-0.4637,-0.46359,-0.46369,-0.4638,-0.46392,-0.46396,-0.46462,-0.463,-0.46113,-0.46007,-0.46039,-0.45997,-0.46056,-0.46138,-0.4628,-0.46422
-0.47408,-0.6998,-0.67094,-0.7524,-0.83009,-0.88708,-0.94799,-0.9557,-0.93471,-0.95911,-0.98905,-1,-0.91825,-0.86894,-0.82698,-0.79538,-0.77939,-0.78243,-0.7943,-0.78663,-0.77597,-0.75131,-0.72462,-0.71093,-0.71043,-0.72369,-0.72609,-0.72265,-0.71236,-0.71474,-0.71816,-0.7276,-0.73652,-0.73639,-0.74885,-0.74165,-0.7461,-0.77118,-0.79017,-0.81165,-0.78488,-0.79487,-0.83494,-0.87826,-0.67574,-0.64991,-0.58342,-0.53505,-0.59268,-0.65006
-0.44777,-0.44751,-0.44725,-0.44712,-0.447,-0.44692,-0.44686,-0.44661,-0.44663,-0.44677,-0.44676,-0.44674,-0.44669,-0.4467,-0.4467,-0.4467,-0.4467,-0.44672,-0.44672,-0.44672,-0.44672,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.45067,-0.45009,-0.45071,-0.4533,-0.45303,-0.45027
-0.42299,-0.51067,-0.46473,-0.45144,-0.45132,-0.45154,-0.45137,-0.45555,-0.45636,-0.45255,-0.45177,-0.45037,-0.45029,-0.45172,-0.45423,-0.4544,-0.45451,-0.47931,-0.49,-0.46708,-0.4622,-0.4619,-0.45467,-0.45404,-0.45213,-0.4476,-0.45022,-0.45503,-0.45291,-0.45055,-0.45196,-0.46044,-0.46686,-0.4649,-0.47637,-0.47195,-0.49992,-0.49282,-0.47884,-0.45412,-0.45284,-0.45183,-0.45244,-0.44845,-0.44918,-0.45191,-0.45533,-0.4599,-0.46128,-0.4577
-0.49566,-0.49108,-0.48846,-0.48037,-0.46297,-0.43978,-0.41811,-0.41848,-0.42351,-0.43274,-0.43426,-0.43773,-0.44057,-0.43636,-0.43698,-0.4423,-0.44515,-0.44992,-0.45592,-0.4638,-0.46374,-0.46309,-0.46292,-0.45775,-0.45758,-0.45845,-0.45786,-0.46023,-0.45855,-0.46211,-0.46402,-0.46354,-0.46437,-0.4641,-0.46398,-0.46392,-0.46404,-0.46417,-0.4644,-0.46459,-0.42815,-0.46354,-0.46161,-0.46148,-0.46098,-0.46071,-0.46075,-0.46164,-0.46217,-0.46337
-0.38042,-0.30079,-0.2712,-0.22972,-0.17465,-0.1194,-0.077501,-0.027582,-0.043937,-0.056699,-0.064826,-0.058336,-0.057873,-0.041344,-0.041445,-0.026959,-0.014283,-0.0095754,-0.010865,-0.0096913,-0.0097058,-0.0076198,-0.0053599,0.0074459,0.016572,0.014964,0.0063595,0.013067,0.0072866,0.0068665,0.005751,0.0047805,0.0040417,0.0031001,0.0018108,-0.00050702,-0.0095899,-0.012299,-0.012516,-0.04427,-0.083571,-0.10165,-0.1073,-0.10988,-0.24631,-0.29155,-0.34218,-0.38072,-0.40145,-0.2644
-0.44661,-0.44664,-0.44666,-0.44667,-0.44668,-0.44669,-0.4467,-0.4467,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44671,-0.44188,-0.44046,-0.44077,-0.44098,-0.43948,-0.44039
