1,0.9976,0.99058,0.98751,0.97936,0.96767,0.95865,0.95493,0.95451,0.95092,0.94948,0.94824,0.94699,0.9473,0.94632,0.94536,0.94125,0.94029,0.93835,0.93686,0.93534,0.93392,0.93216,0.93287,0.9349,0.93498,0.93674,0.93812,0.93935,0.94112,0.94426,0.94983,0.95842,0.96867,0.97939,0.98941
-0.9601,-0.95977,-0.96004,-0.94899,-0.93704,-0.93455,-0.93089,-0.92319,-0.9122,-0.91146,-0.90731,-0.89889,-0.89191,-0.88911,-0.88727,-0.88603,-0.88097,-0.88073,-0.88062,-0.8803,-0.88017,-0.8783,-0.87679,-0.87671,-0.87822,-0.88414,-0.89796,-0.90509,-0.9087,-0.90774,-0.90649,-0.90347,-0.89884,-0.90044,-0.90014,-0.89828
-0.88943,-0.90691,-0.91034,-0.9107,-0.90502,-0.90542,-0.90446,-0.90216,-0.90062,-0.90181,-0.90147,-0.90154,-0.90192,-0.90208,-0.90211,-0.90213,-0.90219,-0.90217,-0.90229,-0.90223,-0.90236,-0.90266,-0.90308,-0.90426,-0.90438,-0.9035,-0.90038,-0.88567,-0.88574,-0.88713,-0.88411,-0.88415,-0.88355,-0.88386,-0.88447,-0.8861
-0.92148,-0.92264,-0.9251,-0.92904,-0.9319,-0.93679,-0.94106,-0.9423,-0.94226,-0.94293,-0.94236,-0.93937,-0.93743,-0.93495,-0.93386,-0.93178,-0.92836,-0.92193,-0.92106,-0.91931,-0.91962,-0.91957,-0.92128,-0.92327,-0.92318,-0.92467,-0.92689,-0.92879,-0.92875,-0.92798,-0.9265,-0.92488,-0.92288,-0.92271,-0.92062,-0.91875
-0.87699,-0.85542,-0.85671,-0.83952,-0.8355,-0.83661,-0.83168,-0.82876,-0.82906,-0.82658,-0.82507,-0.82415,-0.82198,-0.8185,-0.81924,-0.81675,-0.81691,-0.81491,-0.81309,-0.81341,-0.81343,-0.81183,-0.81046,-0.80949,-0.80954,-0.80987,-0.80681,-0.80941,-0.81174,-0.81596,-0.82112,-0.82165,-0.82623,-0.83196,-0.83864,-0.84587
-0.86724,-0.85685,-0.85831,-0.85525,-0.85142,-0.8493,-0.84611,-0.84343,-0.84334,-0.84135,-0.83995,-0.83828,-0.83886,-0.83683,-0.83664,-0.83682,-0.83583,-0.83266,-0.83198,-0.83185,-0.83022,-0.83081,-0.83013,-0.83003,-0.83023,-0.8308,-0.83287,-0.83369,-0.83358,-0.83359,-0.83468,-0.83628,-0.84542,-0.8487,-0.85347,-0.87109
-0.92027,-0.92026,-0.91984,-0.91794,-0.9159,-0.91476,-0.91378,-0.91292,-0.91298,-0.91434,-0.91583,-0.91674,-0.91691,-0.91729,-0.91733,-0.91708,-0.91723,-0.91849,-0.91772,-0.91854,-0.91826,-0.91819,-0.91876,-0.91937,-0.91956,-0.91928,-0.9191,-0.91848,-0.91782,-0.91744,-0.91748,-0.9175,-0.91759,-0.91772,-0.91772,-0.91747
-0.90853,-0.90876,-0.90899,-0.90889,-0.90864,-0.90855,-0.90857,-0.90855,-0.90896,-0.90911,-0.90928,-0.90941,-0.90968,-0.91015,-0.91148,-0.91292,-0.91408,-0.91423,-0.9141,-0.91447,-0.91482,-0.91498,-0.91535,-0.91532,-0.91562,-0.9158,-0.91588,-0.91587,-0.9159,-0.91594,-0.91599,-0.9161,-0.91643,-0.91577,-0.91467,-0.91348
-0.87054,-0.85639,-0.84267,-0.82441,-0.82593,-0.82254,-0.81679,-0.81292,-0.81208,-0.81133,-0.81031,-0.80987,-0.80853,-0.80869,-0.80717,-0.80756,-0.80631,-0.80614,-0.80503,-0.8049,-0.80416,-0.80408,-0.80428,-0.8037,-0.80382,-0.8034,-0.80135,-0.79871,-0.79788,-0.79985,-0.80363,-0.80176,-0.81058,-0.82031,-0.83838,-0.83962
-0.5873,-0.61823,-0.64674,-0.70699,-0.75134,-0.78314,-0.87217,-0.87232,-0.88036,-0.86864,-0.87142,-0.88592,-0.88982,-0.89972,-0.89081,-0.89197,-0.91679,-0.95957,-0.98799,-0.99602,-0.984,-0.96729,-0.97238,-0.9692,-0.94396,-0.92322,-0.82485,-0.67642,-0.56341,-0.47963,-0.4152,-0.39678,-0.39237,-0.39966,-0.4085,-0.55518
