0.99359,0.99364,0.99375,0.99375,0.99396,0.99398,0.99418,0.99442,0.9955,0.99534,0.99592,0.99602,0.99597,0.99588,0.99587,0.9959,0.99602,0.99612,0.99629,0.99634,0.99636,0.99646,0.99661,0.99662,0.9967,0.99679,0.99695,0.99707,0.9972,0.99744,0.99773,0.99768,0.99824,0.99865,0.99864,0.99884,0.99905,0.99929,0.99947,0.99973,0.99974,0.99983,0.99997,0.99994,0.9999,0.99983,0.99996,1,0.99999,0.99991,0.99977,0.99936,0.99939
-0.46281,-0.46303,-0.46316,-0.46302,-0.46288,-0.46258,-0.46223,-0.46156,-0.45987,-0.45815,-0.45736,-0.45796,-0.46076,-0.44585,-0.42023,-0.40351,-0.39389,-0.38933,-0.39288,-0.40027,-0.40736,-0.41351,-0.41576,-0.41508,-0.41516,-0.41344,-0.41288,-0.4126,-0.41248,-0.41156,-0.40778,-0.40547,-0.40677,-0.40835,-0.4064,-0.40604,-0.40313,-0.40527,-0.40459,-0.40464,-0.40442,-0.40443,-0.40448,-0.40447,-0.40453,-0.40573,-0.40684,-0.40838,-0.41111,-0.41231,-0.41387,-0.41774,-0.42282
-0.42131,-0.42133,-0.42132,-0.42132,-0.42133,-0.42132,-0.4213,-0.42129,-0.42129,-0.42131,-0.42144,-0.42165,-0.4214,-0.42027,-0.41954,-0.41974,-0.41689,-0.41856,-0.41833,-0.41841,-0.41876,-0.41903,-0.41919,-0.41928,-0.4193,-0.41935,-0.41945,-0.41964,-0.41965,-0.4196,-0.41946,-0.41897,-0.41835,-0.41789,-0.41806,-0.41789,-0.41791,-0.41817,-0.41847,-0.41867,-0.41885,-0.41903,-0.41901,-0.41917,-0.41924,-0.41933,-0.41939,-0.41944,-0.41946,-0.41967,-0.41968,-0.41975,-0.41982
-0.41641,-0.41641,-0.41641,-0.41641,-0.41642,-0.41642,-0.41645,-0.41647,-0.41651,-0.41655,-0.41656,-0.41653,-0.41652,-0.41688,-0.41727,-0.41735,-0.41727,-0.4175,-0.41755,-0.41752,-0.41746,-0.41742,-0.41737,-0.41734,-0.41722,-0.41723,-0.4171,-0.41699,-0.41688,-0.41687,-0.41695,-0.41718,-0.41736,-0.41762,-0.4184,-0.41878,-0.41881,-0.4189,-0.41898,-0.41947,-0.41925,-0.41926,-0.41943,-0.41953,-0.41958,-0.41956,-0.41953,-0.41953,-0.41945,-0.41926,-0.41899,-0.4188,-0.4189
-0.47419,-0.47426,-0.47416,-0.47464,-0.4747,-0.47508,-0.47507,-0.47493,-0.47507,-0.47489,-0.47379,-0.47208,-0.46931,-0.45223,-0.43,-0.41689,-0.40944,-0.40942,-0.41236,-0.41734,-0.4247,-0.42472,-0.42496,-0.42555,-0.42637,-0.42749,-0.43064,-0.43369,-0.43279,-0.4315,-0.42898,-0.42753,-0.42861,-0.42938,-0.42966,-0.43016,-0.42877,-0.42978,-0.429,-0.42927,-0.42895,-0.42898,-0.42923,-0.42949,-0.43015,-0.43053,-0.43151,-0.4337,-0.43651,-0.43947,-0.43963,-0.4404,-0.44203
-0.45305,-0.45309,-0.45314,-0.45319,-0.48228,-0.50531,-0.48664,-0.46794,-0.4664,-0.47979,-0.45503,-0.56903,-0.6512,-0.7374,-0.79515,-0.84617,-0.9074,-0.95126,-0.8433,-0.79974,-0.7646,-0.7425,-0.72831,-0.7254,-0.72225,-0.79431,-0.84087,-0.87523,-0.92384,-0.96861,-1,-0.90981,-0.87195,-0.83536,-0.80622,-0.78487,-0.75858,-0.74452,-0.74825,-0.74394,-0.73046,-0.80235,-0.85362,-0.88683,-0.91683,-0.94671,-0.94695,-0.88966,-0.83263,-0.79427,-0.76125,-0.74626,-0.76366
-0.43212,-0.43211,-0.43209,-0.43208,-0.42956,-0.42609,-0.42392,-0.4229,-0.4219,-0.42121,-0.42067,-0.42034,-0.42008,-0.41985,-0.41975,-0.41965,-0.41959,-0.41954,-0.4195,-0.41948,-0.41947,-0.41945,-0.41939,-0.41939,-0.4194,-0.41943,-0.41942,-0.41942,-0.41942,-0.41942,-0.41942,-0.41941,-0.41941,-0.41941,-0.41941,-0.41941,-0.41941,-0.41941,-0.41941,-0.41941,-0.41941,-0.41941,-0.41941,-0.41941,-0.41941,-0.41941,-0.41941,-0.41941,-0.41941,-0.41941,-0.41941,-0.41941,-0.41941
-0.41969,-0.4197,-0.4197,-0.41949,-0.41885,-0.4178,-0.41711,-0.41452,-0.41408,-0.467,-0.45094,-0.43565,-0.43475,-0.43058,-0.42909,-0.42788,-0.42597,-0.42476,-0.42406,-0.44826,-0.44817,-0.45341,-0.45893,-0.46065,-0.46284,-0.49949,-0.54419,-0.56844,-0.60041,-0.62768,-0.64023,-0.60651,-0.55937,-0.53684,-0.52691,-0.51947,-0.50552,-0.49183,-0.48392,-0.479,-0.47394,-0.50513,-0.54608,-0.5685,-0.58972,-0.61511,-0.5977,-0.54144,-0.51875,-0.49227,-0.46342,-0.45018,-0.44457
-0.47466,-0.475,-0.47531,-0.47554,-0.47557,-0.47559,-0.47555,-0.47648,-0.47586,-0.47591,-0.47511,-0.47324,-0.46734,-0.45277,-0.43186,-0.42135,-0.41199,-0.41081,-0.41173,-0.4128,-0.41474,-0.4155,-0.4148,-0.41881,-0.42122,-0.42289,-0.42544,-0.42931,-0.42827,-0.43033,-0.43038,-0.42935,-0.42786,-0.42687,-0.42619,-0.42515,-0.42518,-0.42544,-0.42595,-0.4263,-0.42665,-0.42703,-0.42717,-0.42773,-0.42816,-0.42936,-0.4315,-0.43376,-0.43379,-0.43373,-0.43602,-0.43723,-0.43855
-0.41427,-0.41424,-0.41427,-0.41412,-0.39983,-0.36215,-0.35733,-0.35647,-0.32486,-0.30898,-0.29232,-0.18879,-0.15804,-0.12403,-0.079551,-0.051713,-0.021844,-0.017186,-0.020097,-0.021375,-0.019685,-0.016348,-0.01007,-0.010184,-0.00024145,0.00029826,0.0033377,0.0047864,0.0059368,0.0070162,0.025977,0.043759,0.044271,0.044924,0.038902,0.02994,0.029301,0.027426,0.026361,0.025764,0.025793,0.019501,0.019217,0.022284,0.022867,0.022256,0.020424,0.018975,0.017228,-0.0036075,-0.019117,-0.01649,-0.018279
