0.99289,0.99275,0.9932,0.99397,0.99442,0.99464,0.99477,0.99516,0.99521,0.99557,0.99607,0.99597,0.99635,0.99658,0.99671,0.99668,0.99676,0.99682,0.9969,0.9969,0.99695,0.99702,0.99723,0.99721,0.99748,0.99762,0.99776,0.99787,0.99798,0.99823,0.99848,0.99879,0.99915,0.99934,0.99948,0.99958,0.99977,0.9997,0.99981,0.99984,0.99989,0.99997,0.99997,1,0.99986,0.99972,0.99953,0.99895,0.99922,0.99906,0.999,0.99901
-0.60563,-0.60321,-0.60118,-0.59894,-0.59701,-0.59545,-0.59636,-0.59698,-0.5975,-0.59715,-0.59817,-0.59792,-0.599,-0.59988,-0.59984,-0.60078,-0.60335,-0.60173,-0.60303,-0.60238,-0.60276,-0.60304,-0.6038,-0.60409,-0.60434,-0.60517,-0.6049,-0.60432,-0.60377,-0.59727,-0.59235,-0.5872,-0.58408,-0.57951,-0.57796,-0.57831,-0.57935,-0.58002,-0.58167,-0.58384,-0.58588,-0.58385,-0.58425,-0.58441,-0.58494,-0.58986,-0.59018,-0.59402,-0.59791,-0.60226,-0.60552,-0.60493
-0.5627,-0.56387,-0.56427,-0.56546,-0.56678,-0.56772,-0.56819,-0.56901,-0.56996,-0.57041,-0.57039,-0.57042,-0.57086,-0.57069,-0.57054,-0.57109,-0.57029,-0.57036,-0.57027,-0.57104,-0.57215,-0.57131,-0.57094,-0.57153,-0.57139,-0.57183,-0.57273,-0.57352,-0.57393,-0.5747,-0.57516,-0.57608,-0.57442,-0.5719,-0.57019,-0.57133,-0.57155,-0.57247,-0.5735,-0.57403,-0.57379,-0.5735,-0.5736,-0.57383,-0.57436,-0.57505,-0.57353,-0.57332,-0.57286,-0.57255,-0.57211,-0.5716
-0.56686,-0.56657,-0.56662,-0.56629,-0.56605,-0.5657,-0.56524,-0.56499,-0.56462,-0.56462,-0.56447,-0.56431,-0.56438,-0.56447,-0.56435,-0.56436,-0.5646,-0.56497,-0.56509,-0.5653,-0.5652,-0.56536,-0.56538,-0.56535,-0.56522,-0.56524,-0.56515,-0.56518,-0.5652,-0.56511,-0.56506,-0.56503,-0.56506,-0.56514,-0.56548,-0.56541,-0.56538,-0.56526,-0.56489,-0.56457,-0.5644,-0.56417,-0.56457,-0.56501,-0.56603,-0.56612,-0.56604,-0.56574,-0.56553,-0.56575,-0.56564,-0.5656
-0.51008,-0.52874,-0.53659,-0.53757,-0.54862,-0.55035,-0.55448,-0.55733,-0.55883,-0.56765,-0.56642,-0.56865,-0.56883,-0.56831,-0.56911,-0.56922,-0.56873,-0.56766,-0.5668,-0.56669,-0.56575,-0.56521,-0.5642,-0.56454,-0.56482,-0.56546,-0.56622,-0.56758,-0.56834,-0.57073,-0.57197,-0.57171,-0.57105,-0.57134,-0.57163,-0.57342,-0.57457,-0.57608,-0.57814,-0.58039,-0.58247,-0.58858,-0.59238,-0.59313,-0.596,-0.59611,-0.59549,-0.59419,-0.59171,-0.59112,-0.58961,-0.58914
-0.53398,-0.56134,-0.56396,-0.66759,-0.72328,-0.76387,-0.78555,-0.81176,-0.83543,-0.83983,-0.85412,-0.86045,-0.8628,-0.86104,-0.86134,-0.8821,-0.89048,-0.88382,-0.87898,-0.878,-0.87013,-0.86502,-0.86935,-0.87428,-0.87402,-0.97841,-1,-0.95954,-0.91617,-0.89562,-0.88688,-0.88926,-0.89802,-0.91743,-0.91711,-0.91045,-0.8857,-0.91362,-0.98394,-0.98471,-0.96264,-0.94877,-0.92242,-0.88494,-0.86632,-0.86864,-0.86178,-0.86134,-0.87923,-0.75975,-0.71424,-0.83737
-0.57075,-0.5759,-0.57635,-0.57478,-0.57128,-0.56986,-0.56838,-0.56744,-0.56677,-0.56638,-0.56602,-0.56581,-0.56565,-0.56554,-0.56547,-0.5654,-0.56537,-0.56535,-0.56531,-0.56531,-0.56531,-0.5653,-0.56529,-0.56528,-0.56527,-0.56527,-0.56527,-0.56527,-0.56526,-0.56526,-0.56526,-0.56526,-0.56526,-0.56526,-0.56526,-0.56526,-0.56526,-0.56526,-0.56526,-0.56526,-0.56526,-0.56526,-0.56526,-0.56526,-0.56526,-0.56526,-0.56526,-0.56526,-0.56526,-0.57193,-0.57419,-0.57237
-0.57719,-0.57522,-0.57518,-0.5778,-0.58454,-0.58465,-0.57763,-0.57284,-0.56872,-0.54853,-0.54949,-0.53918,-0.55466,-0.55552,-0.55721,-0.57565,-0.57258,-0.56952,-0.57237,-0.57108,-0.56524,-0.50142,-0.51377,-0.5347,-0.53538,-0.54582,-0.55305,-0.52191,-0.52521,-0.5426,-0.5503,-0.54458,-0.54137,-0.4684,-0.5052,-0.52499,-0.53256,-0.54066,-0.54824,-0.53511,-0.5089,-0.46614,-0.50303,-0.5062,-0.51108,-0.5244,-0.52724,-0.5388,-0.54316,-0.54617,-0.54952,-0.54998
-0.50886,-0.5213,-0.52936,-0.54282,-0.54405,-0.5497,-0.55365,-0.55835,-0.5609,-0.56738,-0.56344,-0.56224,-0.56098,-0.55956,-0.56223,-0.56324,-0.56366,-0.56339,-0.56324,-0.56308,-0.56286,-0.56285,-0.5624,-0.56264,-0.56283,-0.56339,-0.56388,-0.56706,-0.56864,-0.57202,-0.57172,-0.57147,-0.57102,-0.57059,-0.57174,-0.57315,-0.57672,-0.5804,-0.58603,-0.5888,-0.5887,-0.59293,-0.59669,-0.5985,-0.60091,-0.59993,-0.59816,-0.59923,-0.59856,-0.5971,-0.5961,-0.59427
-0.30361,-0.29145,-0.28824,-0.27934,-0.26186,-0.23246,-0.18754,-0.14387,-0.11366,-0.097856,-0.092733,-0.093799,-0.10796,-0.11828,-0.12817,-0.12804,-0.12406,-0.11387,-0.10965,-0.10785,-0.10453,-0.10567,-0.11277,-0.12369,-0.12461,-0.12604,-0.1335,-0.16683,-0.16686,-0.1728,-0.17051,-0.15839,-0.12084,-0.096713,-0.090556,-0.10282,-0.12424,-0.13398,-0.13285,-0.12883,-0.1256,-0.12692,-0.13075,-0.13334,-0.14716,-0.14794,-0.13873,-0.11619,-0.11739,-0.092028,-0.057454,-0.04547
