1,0.99861,0.9942,0.98343,0.98235,0.97405,0.96506,0.95792,0.9528,0.95103,0.94924,0.94943,0.94924,0.95249,0.95324,0.95815,0.96645,0.96885,0.97721,0.98037,0.9881,0.99786,0.99987
-0.72704,-0.72572,-0.72633,-0.72572,-0.72321,-0.71314,-0.7063,-0.69785,-0.69509,-0.69361,-0.69109,-0.68706,-0.6848,-0.686,-0.68294,-0.68832,-0.69535,-0.69758,-0.70268,-0.70744,-0.70673,-0.69838,-0.68418
-0.63402,-0.63747,-0.63899,-0.64058,-0.63803,-0.63881,-0.63952,-0.64036,-0.64119,-0.64188,-0.64236,-0.64264,-0.64202,-0.64166,-0.64157,-0.6417,-0.642,-0.64237,-0.64301,-0.64415,-0.65054,-0.65502,-0.66474
-0.67641,-0.67919,-0.68171,-0.68577,-0.68734,-0.69066,-0.69027,-0.69293,-0.69197,-0.69319,-0.69352,-0.69392,-0.69355,-0.69273,-0.69186,-0.68894,-0.68314,-0.68181,-0.67543,-0.67437,-0.67119,-0.66934,-0.66712
-0.65123,-0.64429,-0.64505,-0.6303,-0.63251,-0.62944,-0.62697,-0.62625,-0.62523,-0.62465,-0.62427,-0.62386,-0.6236,-0.62299,-0.62269,-0.62155,-0.61889,-0.6192,-0.6184,-0.61758,-0.61873,-0.62255,-0.63161
-0.62053,-0.61763,-0.61468,-0.61046,-0.60059,-0.60552,-0.60712,-0.60897,-0.61068,-0.60827,-0.60781,-0.60824,-0.60719,-0.60659,-0.60604,-0.60531,-0.60381,-0.60244,-0.60156,-0.60313,-0.61063,-0.6228,-0.63223
-0.6708,-0.67064,-0.6712,-0.6712,-0.67109,-0.66921,-0.66743,-0.66745,-0.66714,-0.66695,-0.66687,-0.66696,-0.66731,-0.66734,-0.66725,-0.66758,-0.66798,-0.66803,-0.66828,-0.66891,-0.66966,-0.67036,-0.6712
-0.66475,-0.66448,-0.66395,-0.66399,-0.66387,-0.66365,-0.6635,-0.66358,-0.66376,-0.66394,-0.66393,-0.66396,-0.66397,-0.66397,-0.66394,-0.66396,-0.66396,-0.66397,-0.66402,-0.66375,-0.66367,-0.66359,-0.66338
-0.64932,-0.64587,-0.64103,-0.63138,-0.63066,-0.62788,-0.62618,-0.62562,-0.62221,-0.62339,-0.62447,-0.62255,-0.6219,-0.62058,-0.61954,-0.61608,-0.61733,-0.61436,-0.61228,-0.61474,-0.62035,-0.62186,-0.62975
-0.050657,-0.2685,-0.38742,-0.57497,-0.66233,-0.79213,-0.86838,-0.93408,-0.98342,-1,-0.999,-0.96003,-0.90116,-0.81726,-0.77829,-0.47009,-0.40693,-0.26126,-0.21333,-0.19731,-0.22985,-0.2326,-0.2694
-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404
-0.70168,-0.70501,-0.69227,-0.68384,-0.67546,-0.66692,-0.66139,-0.65565,-0.6532,-0.65441,-0.65518,-0.65494,-0.65448,-0.6678,-0.68409,-0.68832,-0.6869,-0.68088,-0.67431,-0.67261,-0.67335,-0.67003,-0.66662
-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404
-0.74388,-0.73547,-0.725,-0.7182,-0.71748,-0.7193,-0.72002,-0.72081,-0.71954,-0.71913,-0.71826,-0.71849,-0.71742,-0.71763,-0.71621,-0.71454,-0.7148,-0.71544,-0.71463,-0.71595,-0.71738,-0.71994,-0.72352
-0.66437,-0.66451,-0.66487,-0.66521,-0.66552,-0.66572,-0.66584,-0.66612,-0.66617,-0.66637,-0.66631,-0.6663,-0.66628,-0.66631,-0.66628,-0.66639,-0.6664,-0.66625,-0.66598,-0.66543,-0.6652,-0.66505,-0.66487
-0.67927,-0.66116,-0.64995,-0.64108,-0.6343,-0.63139,-0.6313,-0.63208,-0.63244,-0.63243,-0.63293,-0.63371,-0.63413,-0.63566,-0.63456,-0.63415,-0.63247,-0.63041,-0.62815,-0.6268,-0.62797,-0.6272,-0.62809
-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404,-0.66404
-0.57445,-0.57363,-0.57255,-0.57039,-0.57014,-0.56548,-0.56056,-0.55751,-0.55464,-0.55332,-0.55126,-0.55232,-0.55354,-0.55475,-0.55596,-0.55588,-0.55686,-0.55743,-0.55851,-0.5632,-0.56762,-0.57753,-0.58166
-0.66474,-0.66492,-0.66493,-0.665,-0.66523,-0.66558,-0.6656,-0.66577,-0.66593,-0.66607,-0.66615,-0.66612,-0.66616,-0.66614,-0.66604,-0.6659,-0.66576,-0.66563,-0.66549,-0.6653,-0.66517,-0.66493,-0.66415
-0.66392,-0.65973,-0.6557,-0.65572,-0.65341,-0.65063,-0.65037,-0.64978,-0.64946,-0.64839,-0.64869,-0.64835,-0.6492,-0.64923,-0.64915,-0.64805,-0.64795,-0.64651,-0.64483,-0.6436,-0.64312,-0.64408,-0.64585
