-0.2119,-0.57565,0.065563
-0.12291,-1.339,-1.239
-0.031634,0.82904,2.1969
2.0021,0.031129,-0.17019
-0.7811,0.87939,0.27795
-0.66812,-0.65271,0.10342
-0.018461,0.14541,0.02838
-0.28829,0.44282,-0.023929
-0.28944,-0.35052,1.2696
2.0067,0.057715,-0.82194
-0.47581,0.030055,-0.40517
-0.058297,-0.21805,-0.24056
-0.81205,0.89052,0.062611
1.7115,0.31954,0.11214
1.8241,-0.19907,0.13962
2.0837,0.41303,-0.13493
-0.47924,1.5134,0.64195
1.771,0.31072,0.064815
1.8848,-0.77567,0.17766
2.0422,0.61449,-0.096986
