-0.61908,0.99376,0.062281
-0.30105,0.56908,-0.10257
-0.35653,-0.48999,-0.12176
-0.26615,1.1306,-0.24675
1.5539,0.87821,0.28119
1.0562,-0.44808,-0.003778
-0.093436,0.42908,-0.6407
0.79441,0.22955,-0.040019
-0.54818,1.5206,-0.42956
-0.22873,-0.43009,-0.24711
0.50536,-0.089356,-0.014945
0.37362,0.27633,0.092361
0.41253,0.16736,-0.0082078
-0.55137,0.8877,0.08666
-0.15572,-0.10956,-0.31267
-0.17879,-0.43114,-0.26155
-0.22213,-0.64127,0.75809
-0.11797,-0.13474,-0.035146
-0.20061,-0.056416,-0.49675
-0.13642,-0.41003,-0.31182
