0.64774,0.61855,0.58651,0.53705,0.53636,0.52286,0.51174,0.50097,0.48997,0.48051,0.47032,0.47131,0.48397,0.48461,0.48889,0.49996,0.52301,0.56296,0.56832,0.58636,0.59953,0.61439
0.72,0.70394,0.6936,0.663,0.66118,0.6494,0.62728,0.62847,0.62203,0.61533,0.60779,0.59994,0.58263,0.58096,0.58216,0.57668,0.57808,0.58397,0.59968,0.63812,0.69348,0.77888
0.42741,0.45013,0.46435,0.4837,0.50367,0.52243,0.53674,0.54989,0.56664,0.57876,0.59919,0.60033,0.60914,0.61968,0.62425,0.63585,0.64295,0.63206,0.612,0.56266,0.4821,0.35537
0.10775,0.027956,-0.030981,-0.024621,-0.053849,-0.055262,-0.07307,-0.060322,-0.056364,-0.062837,-0.061707,-0.062329,-0.063092,-0.085253,-0.11171,-0.10934,-0.076773,-0.01925,0.037086,0.10128,0.23185,0.24903
0.65432,0.65261,0.65399,0.66442,0.67147,0.67896,0.6799,0.68607,0.68188,0.68054,0.68303,0.68399,0.68419,0.67993,0.67513,0.67392,0.67354,0.66632,0.65764,0.65115,0.65146,0.64692
0.66185,0.64281,0.61593,0.54772,0.51254,0.51011,0.67538,0.62419,0.59179,0.5932,0.58577,0.57826,0.57815,0.5809,0.58894,0.59477,0.6016,0.61468,0.62735,0.63575,0.64685,0.64656
0.39196,0.37052,0.31602,0.24807,0.23026,0.22322,0.19436,0.17704,0.17373,0.1642,0.17978,0.19581,0.19142,0.20364,0.25081,0.29819,0.36269,0.35379,0.35933,0.38184,0.39525,0.42295
0.82,0.78602,0.75935,0.74662,0.49854,0.25952,0.27976,0.4067,0.026599,0.010035,0.19824,0.34381,0.44502,0.50588,0.53433,0.55525,0.56282,0.57806,0.59948,0.61312,0.61784,0.61945
0.61533,0.6138,0.60684,0.67821,0.69315,0.69859,0.70484,0.71185,0.71428,0.7181,0.71689,0.71884,0.71601,0.55522,0.69148,0.68072,0.67326,0.59926,0.61098,0.61817,0.61679,0.61794
-0.10397,-0.20601,-0.47986,-0.59621,-0.69279,-0.76058,-0.81714,-0.86791,-0.89745,-0.90711,-0.91342,-0.91113,-0.84035,-0.79181,-0.76578,-0.47582,-0.39263,-0.18015,-0.036662,0.20349,0.33363,0.44748
-1,-0.85697,-0.67612,-0.55595,-0.49365,-0.43189,-0.43133,-0.39014,-0.39376,-0.38288,-0.34992,-0.32442,-0.20881,-0.075812,0.25847,-0.033525,-0.09916,-0.18359,-0.24004,-0.22274,-0.17607,-0.12726
-0.091133,-0.10987,-0.061537,0.044012,0.15838,0.27362,0.30378,0.30455,0.30865,0.31142,0.31501,0.34602,0.37501,0.36977,0.5195,0.48513,0.42734,0.4254,0.46281,0.50566,0.59547,0.67858
0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174
0.56668,0.44688,0.40903,0.31311,0.22614,0.15493,0.061763,0.057297,-0.01549,-0.021879,-0.027956,-0.035814,-0.016706,-0.011448,0.032111,0.14919,0.18628,0.284,0.37285,0.46858,0.56701,0.65185
0.73094,0.74921,0.78392,0.82156,0.84737,0.87468,0.89069,0.9148,0.93838,0.93637,0.95763,0.97244,0.97965,0.9842,0.99847,1,0.99169,0.9725,0.92201,0.90679,0.86524,0.83037
-0.72394,0.051757,-0.3437,0.42005,-0.17291,-0.22455,-0.28414,-0.38853,-0.42836,-0.48,-0.49105,-0.51307,-0.55567,-0.55929,-0.60016,-0.64254,-0.6727,-0.70043,-0.72038,-0.74512,-0.74933,-0.74995
0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174,0.63174
0.61917,0.60235,0.54687,0.49262,0.44645,0.41247,0.39005,0.36515,0.34483,0.33604,0.32617,0.32151,0.32626,0.33652,0.38725,0.45635,0.53095,0.60763,0.70869,0.72248,0.80745,0.83829
0.84658,0.84995,0.84627,0.84391,0.84914,0.85318,0.85028,0.84934,0.85023,0.84962,0.85014,0.85262,0.86765,0.89008,0.91142,0.91,0.90943,0.9017,0.89385,0.89374,0.88655,0.88083
-0.81072,-0.81126,-0.18351,-0.44998,-0.53747,-0.55864,-0.61647,-0.64663,-0.64618,-0.64994,-0.65904,-0.668,-0.68457,-0.70289,-0.72934,-0.7497,-0.75009,-0.29751,-0.11496,0.069622,-0.13008,-0.30933
