-0.61908,0.99376,0.062281
0.11259,-0.042882,-0.019497
-0.276,-0.36517,-0.087273
-0.26615,1.1306,-0.24675
-0.7811,0.87939,0.27795
1.0562,-0.44808,-0.003778
-0.12931,0.61212,-0.9162
0.11746,0.038336,0.021528
-0.26772,-0.66366,-0.76205
-0.22901,0.78192,-0.18991
-0.40942,-0.56943,-0.69694
1.0067,0.15547,0.11295
-0.81205,0.89052,0.062611
-0.28987,-1.2072,1.6301
-0.17653,-0.18459,0.5031
-0.035299,-0.030693,0.54963
-0.095667,-0.13265,-0.82427
-0.24466,-0.50679,-1.0631
-0.2887,-0.13722,0.77181
-0.067969,-0.13596,1.2751
